seal,ref,d_date,lat,lon,v_mask
B21,hg32-24-11,2011-12-02T16:49:08Z,48.3177299499512,-4.87876987457275,0
B21,hg32-24-11,2011-12-02T18:29:08Z,48.3178901672363,-4.87868976593018,0
B21,hg32-24-11,2011-12-02T19:32:00Z,48.317928314209,-4.87880992889404,0
B21,hg32-24-11,2011-12-02T19:42:20Z,48.3178291320801,-4.87881994247437,0
B21,hg32-24-11,2011-12-02T19:52:56Z,48.3178291320801,-4.87915992736816,0
B21,hg32-24-11,2011-12-02T21:03:40Z,48.3182106018066,-4.87899017333984,0
B21,hg32-24-11,2011-12-02T21:14:40Z,48.3185081481934,-4.87883996963501,0
B21,hg32-24-11,2011-12-02T21:25:56Z,48.3185195922852,-4.87887001037598,0
B21,hg32-24-11,2011-12-02T21:42:48Z,48.3181381225586,-4.87873983383179,0
B21,hg32-24-11,2011-12-02T22:22:28Z,48.3178596496582,-4.87875986099243,0
B21,hg32-24-11,2011-12-02T22:34:56Z,48.3179512023926,-4.87919998168945,0
B21,hg32-24-11,2011-12-02T22:45:04Z,48.3179512023926,-4.87892007827759,0
B21,hg32-24-11,2011-12-02T23:28:56Z,48.3180503845215,-4.87913990020752,0
B21,hg32-24-11,2011-12-02T23:38:56Z,48.3178215026855,-4.87895011901855,0
B21,hg32-24-11,2011-12-02T23:49:04Z,48.317928314209,-4.87907981872559,0
B21,hg32-24-11,2011-12-02T23:59:04Z,48.3180389404297,-4.87868976593018,0
B21,hg32-24-11,2011-12-03T03:47:36Z,48.299991607666,-4.80505990982056,0
B21,hg32-24-11,2011-12-03T04:06:44Z,48.2914695739746,-4.7937798500061,0
B21,hg32-24-11,2011-12-03T04:20:36Z,48.2855415344238,-4.7852897644043,0
B21,hg32-24-11,2011-12-03T04:37:12Z,48.2834510803223,-4.77759981155396,0
B21,hg32-24-11,2011-12-03T04:51:12Z,48.2802085876465,-4.76601982116699,0
B21,hg32-24-11,2011-12-03T05:03:48Z,48.2758903503418,-4.7558798789978,0
B21,hg32-24-11,2011-12-03T07:57:48Z,48.2601013183594,-4.65853977203369,0
B21,hg32-24-11,2011-12-03T09:37:24Z,48.2743988037109,-4.67456007003784,0
B21,hg32-24-11,2011-12-03T10:38:40Z,48.2746810913086,-4.6646900177002,0
B21,hg32-24-11,2011-12-03T10:56:04Z,48.2744598388672,-4.6537299156189,0
B21,hg32-24-11,2011-12-03T11:43:52Z,48.2733192443848,-4.64296007156372,0
B21,hg32-24-11,2011-12-03T12:19:08Z,48.2729187011719,-4.64203977584839,0
B21,hg32-24-11,2011-12-03T12:39:48Z,48.2733116149902,-4.64309978485107,0
B21,hg32-24-11,2011-12-03T12:50:44Z,48.2734603881836,-4.64286994934082,0
B21,hg32-24-11,2011-12-03T13:12:36Z,48.2732009887695,-4.64307022094727,0
B21,hg32-24-11,2011-12-03T13:24:28Z,48.2734298706055,-4.64316987991333,0
